frame.time,wlan.sa,wlan.da,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,
May-05, 2019 18:57:13.746038000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:13.757272000 Jerusalem Daylight Time,1c:b5:fc:ed:2b:14,a0:79:a9:73:19:fc,20.37.41.41,246.48.2.26,,,,
May-05, 2019 18:57:13.757335000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:13.757896000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:13.758546000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,f4:0f:24:37:5b:39,64.233.166.125,192.168.1.122,5222,64738,,
May-05, 2019 18:57:13.759121000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:13.759165000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:13.834887000 Jerusalem Daylight Time,8d:84:c3:b1:e7:9a,9f:6b:aa:b3:45:d3,,,,,,
May-05, 2019 18:57:13.835250000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:13.835802000 Jerusalem Daylight Time,b8:55:50:9a:30:10,1b:47:4c:ba:f7:26,,,,,,
May-05, 2019 18:57:13.836309000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,f4:0f:24:37:5b:39,64.233.166.125,192.168.1.122,5222,64738,,
May-05, 2019 18:57:13.841061000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:13.841104000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:13.848417000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:13.905280000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:13.917287000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,f4:0f:24:37:5b:39,64.233.166.125,192.168.1.122,5222,64738,,
May-05, 2019 18:57:13.918151000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:13.918218000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:13.950844000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:13.994698000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,f4:0f:24:37:5b:39,64.233.166.125,192.168.1.122,5222,64738,,
May-05, 2019 18:57:13.995183000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,f4:0f:24:37:5b:39,64.233.166.125,192.168.1.122,5222,64738,,
May-05, 2019 18:57:14.053362000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:14.053512000 Jerusalem Daylight Time,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:14.053623000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:14.053707000 Jerusalem Daylight Time,f4:0f:24:37:5b:39,fc:6b:f0:0a:c3:43,192.168.1.122,224.0.0.251,,,5353,5353
May-05, 2019 18:57:14.053779000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:14.054026000 Jerusalem Daylight Time,f4:0f:24:37:5b:39,fc:6b:f0:0a:c3:43,,,,,5353,5353
May-05, 2019 18:57:14.054104000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:14.056179000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:14.056298000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:14.057418000 Jerusalem Daylight Time,f4:0f:24:37:5b:39,d8:c4:6a:bd:86:52,192.168.1.122,224.0.0.251,,,5353,5353
May-05, 2019 18:57:14.057510000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:14.058172000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:14.058259000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:14.059262000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:14.059348000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:14.061282000 Jerusalem Daylight Time,f4:0f:24:37:5b:39,d8:c4:6a:bd:86:52,,,,,5353,5353
May-05, 2019 18:57:14.061373000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:14.085673000 Jerusalem Daylight Time,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:14.085754000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:14.155755000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:14.243845000 Jerusalem Daylight Time,08:c5:e1:d1:47:a5,d8:c4:6a:bd:86:52,192.168.1.105,224.0.0.251,,,5353,5353
May-05, 2019 18:57:14.243937000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:14.244632000 Jerusalem Daylight Time,08:c5:e1:d1:47:a5,6c:fd:b9:4f:70:0b,192.168.1.105,224.0.0.251,,,5353,5353
May-05, 2019 18:57:14.244723000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:14.244773000 Jerusalem Daylight Time,08:c5:e1:d1:47:a5,f4:0f:24:37:5b:39,192.168.1.105,224.0.0.251,,,5353,5353
May-05, 2019 18:57:14.248806000 Jerusalem Daylight Time,08:c5:e1:d1:47:a5,6c:fd:b9:4f:70:0b,,,,,5353,5353
May-05, 2019 18:57:14.248895000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:14.248945000 Jerusalem Daylight Time,08:c5:e1:d1:47:a5,f4:0f:24:37:5b:39,,,,,5353,5353
May-05, 2019 18:57:14.249876000 Jerusalem Daylight Time,08:c5:e1:d1:47:a5,d8:c4:6a:bd:86:52,,,,,5353,5353
May-05, 2019 18:57:14.249968000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:14.250484000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:14.258088000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:14.342476000 Jerusalem Daylight Time,98:fc:11:a1:f7:0f,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:14.342595000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:14.360569000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:14.427147000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:14.455755000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:14.456585000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:14.456673000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:14.462979000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:14.565411000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:14.667564000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:14.770014000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:14.872599000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:14.974900000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:15.036152000 Jerusalem Daylight Time,f2:8d:da:03:05:70,f6:b4:56:f7:d8:56,,,,,,
May-05, 2019 18:57:15.077364000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:15.077432000 Jerusalem Daylight Time,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:15.077505000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:15.080489000 Jerusalem Daylight Time,08:c5:e1:d1:47:f1,fc:cc:87:3b:7c:50,,,,,,
May-05, 2019 18:57:15.080557000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:15.109507000 Jerusalem Daylight Time,fc:6b:f0:0a:c3:43,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:15.109594000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:15.179722000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:15.282169000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:15.384536000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:15.486918000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:15.589283000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:15.691734000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:15.794128000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:15.896501000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:15.950597000 Jerusalem Daylight Time,8e:0b:fa:ae:23:61,07:0e:08:4c:5e:46,,,,,,
May-05, 2019 18:57:15.998894000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:16.101301000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:16.203576000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:16.280778000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:16.281381000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:16.281456000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.306095000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:16.408524000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:16.487632000 Jerusalem Daylight Time,7f:8a:7b:ec:3e:a2,8c:7e:3c:42:3c:3e,,,,,,
May-05, 2019 18:57:16.510915000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:16.613284000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:16.715556000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:16.818092000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:16.906636000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:10:f7:cd:bc,192.168.1.151,213.57.2.5,,,2058,53
May-05, 2019 18:57:16.906704000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.920465000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:16.921248000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,213.57.2.5,192.168.1.151,,,53,2058
May-05, 2019 18:57:16.921340000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.925485000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:10:f7:cd:bc,192.168.1.151,192.168.1.1,,,2058,53
May-05, 2019 18:57:16.925576000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.941462000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,192.168.1.1,192.168.1.151,,,53,2058
May-05, 2019 18:57:16.941553000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.945511000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:63:d3:39:bf,192.168.1.151,213.57.2.5,,,2058,53
May-05, 2019 18:57:16.945578000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.958032000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,213.57.2.5,192.168.1.151,,,53,2058
May-05, 2019 18:57:16.958115000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,213.57.2.5,192.168.1.151,,,53,2058
May-05, 2019 18:57:16.958164000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.962488000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:10:f7:cd:bc,192.168.1.151,192.168.1.1,,,2058,53
May-05, 2019 18:57:16.962579000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.976205000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,192.168.1.1,192.168.1.151,,,53,2058
May-05, 2019 18:57:16.976296000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.980033000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:10:f7:cd:bc,192.168.1.151,213.57.2.5,,,2058,53
May-05, 2019 18:57:16.980124000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.993422000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,213.57.2.5,192.168.1.151,,,53,2058
May-05, 2019 18:57:16.993514000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:16.997462000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:10:f7:cd:bc,192.168.1.151,192.168.1.1,,,2058,53
May-05, 2019 18:57:16.997529000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:10:f7:cd:bc,192.168.1.151,192.168.1.1,,,2058,53
May-05, 2019 18:57:16.997860000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:10:f7:cd:bc,192.168.1.151,192.168.1.1,,,2058,53
May-05, 2019 18:57:16.997931000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.023204000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:17.023309000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,192.168.1.1,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.023380000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.028490000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:10:f7:cd:bc,192.168.1.151,213.57.2.5,,,2058,53
May-05, 2019 18:57:17.028558000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.029687000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.029769000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.029817000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.029865000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.030475000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.030562000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.030644000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.032436000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.033750000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.033823000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.033870000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,00:1c:10:f7:cd:bc,192.168.1.112,213.57.2.5,,,47824,53
May-05, 2019 18:57:17.033947000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,00:1c:10:f7:cd:bc,192.168.1.112,213.57.22.5,,,55161,53
May-05, 2019 18:57:17.033997000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.040665000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,213.57.2.5,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.040757000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.045488000 Jerusalem Daylight Time,ae:01:97:14:93:7c,8d:d0:81:f7:cd:bc,,,,,,
May-05, 2019 18:57:17.045538000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.047766000 Jerusalem Daylight Time,64:71:32:99:bc:7f,41:aa:d6:3f:24:c5,,,,,,
May-05, 2019 18:57:17.048218000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.048299000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.049247000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.049843000 Jerusalem Daylight Time,bf:c7:5c:db:03:f6,3f:49:c9:cc:1e:7b,,,,,,
May-05, 2019 18:57:17.049910000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.050845000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,d8:c4:6a:bd:86:52,213.57.2.5,192.168.1.112,,,53,47824
May-05, 2019 18:57:17.050936000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,d8:c4:6a:bd:86:52,213.57.2.5,192.168.1.112,,,53,47824
May-05, 2019 18:57:17.054207000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.054274000 Jerusalem Daylight Time,81:40:c9:c7:8b:33,49:6a:ee:37:33:d4,,,,,,
May-05, 2019 18:57:17.054885000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.055421000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.055490000 Jerusalem Daylight Time,a7:fe:14:f7:cd:bc,d8:23:a2:af:ac:b4,,,,,,
May-05, 2019 18:57:17.056283000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,d8:c4:6a:bd:86:52,213.57.22.5,192.168.1.112,,,53,55161
May-05, 2019 18:57:17.057457000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,d8:c4:6a:bd:86:52,213.57.22.5,192.168.1.112,,,53,55161
May-05, 2019 18:57:17.066810000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,192.168.1.1,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.066902000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.071310000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:10:f7:cd:bc,,,,,,
May-05, 2019 18:57:17.071381000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.084251000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,213.57.2.5,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.084342000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.087497000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,00:1c:10:f7:cd:bc,192.168.1.151,192.168.1.1,,,2058,53
May-05, 2019 18:57:17.087564000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.091719000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.092322000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.092409000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.096277000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.096352000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.096399000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.097953000 Jerusalem Daylight Time,08:c5:e1:d1:47:a5,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:17.101688000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.102327000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.102414000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.102841000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,192.168.1.1,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.102983000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,192.168.1.1,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.103032000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.107494000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.107561000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.120277000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,213.57.2.5,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.120369000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.125262000 Jerusalem Daylight Time,b8:55:10:25:bb:14,ff:ff:ff:ff:ff:ff,,,,,,
May-05, 2019 18:57:17.125403000 Jerusalem Daylight Time,6c:fd:b9:4f:70:0b,80:25:dc:b8:cd:bc,,,,,,
May-05, 2019 18:57:17.125452000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.140290000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,192.168.1.1,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.140382000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.143700000 Jerusalem Daylight Time,6c:fd:79:53:79:0b,00:1c:10:f7:cd:bc,,,,,,
May-05, 2019 18:57:17.143768000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.158304000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,213.57.2.5,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.158395000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.184911000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.185243000 Jerusalem Daylight Time,d8:c4:6a:bd:86:52,b8:55:10:25:bb:14,,,,,,
May-05, 2019 18:57:17.185318000 Jerusalem Daylight Time,,,,,,,,
May-05, 2019 18:57:17.187009000 Jerusalem Daylight Time,00:1c:10:f7:cd:bc,6c:fd:b9:4f:70:0b,192.168.1.1,192.168.1.151,,,53,2058
May-05, 2019 18:57:17.187101000 Jerusalem Daylight Time,,,,,,,,
